obs,id,time,elapsed,date,hhmmss,rep name,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,Tled,Pc,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,CO2_r:MN,CO2_r:SLP,CO2_r:SD,CO2_r:OK,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,H2O_r:MN,H2O_r:SLP,H2O_r:SD,H2O_r:OK,H2O_s:MN,H2O_s:SLP,H2O_s:SD,H2O_s:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,BH1_S_1570,1561730259,0,20190628 09:57:39,9:57:39,,1561730251,0.002399877,5.62337418,390.1523126,246.6383193,23.68024996,37.45932227,0.072261145,2.331343238,0.071039527,0.044507742,316.9671755,27.66327112,26.73745161,3.524338681,10.18500918,0.346211297,3.399224199,3.178127385,-105.8345679,-77.02325161,-7.089535226,127.0198208,0.018820971,-0.422073153,4.605502922,0,0,1,0,50898,1999.994839,1685.995573,0.842999962,0.188000005,9,0.5,0: Broadleaf,1561730251,390.1523226,399.9907742,3.605915161,0.019476413,600.0662258,95.81204839,0.199998839,26.12463548,26.73745161,999.9,9997.559032,725.255129,7.290950645,1999.994839,0.899999774,0.100000174,28,41744.4871,1561729819,9:50:19,2,5.198,-0.021,400,0,0.32,0.03,399.991775,0.03603286,0.026013927,1,390.198925,-0.989134252,0.095859634,1,0.019522295,-0.001844444,0.000260041,1,3.583696,0.481587102,0.046390799,1,4,4,4-Apr,100,100,5.198,-0.021,3,618.551,332.849,25.5005,25.9385,30.0004,25.8513,25.8202,19.1506,100,0,-999.9,400,0,103.387,103.948
2,BH1_S_1570,1561730328,69,20190628 09:58:48,9:58:48,,1561730320,0.0026869,3.870924899,293.0045738,202.8963784,19.48032133,28.13171578,0.081907468,2.332476703,0.08034248,0.050352167,316.9672014,27.62620953,26.77579677,3.532299281,11.34521855,0.386925563,3.410472541,3.145373717,-118.4922707,-74.85401613,-6.889772942,116.7311416,0.01883527,-0.422393817,4.60836415,0,0,1,0,50842,1999.995806,1685.996327,0.842999931,0.187999936,9,0.5,0: Broadleaf,1561730320,293.0045806,299.9910968,4.030005161,0.016347416,600.0671613,95.81118065,0.200002452,26.18052903,26.77579677,999.9,10005.24516,725.550129,7.075633548,1999.995806,0.900000613,0.099999329,28,41744.49032,1561729819,9:50:19,2,5.198,-0.021,400,0,0.32,0.03,299.9842,0.051941477,0.027498364,1,293.052875,-0.960763123,0.094892357,1,0.016322768,0.000509333,0.000212499,1,4.015705,0.310074911,0.02981452,1,4,4,4-Apr,100,100,5.198,-0.021,3,619.064,332.313,25.5635,25.9943,30.0003,25.904,25.8727,15.2466,100,0,-999.9,300,0,103.377,103.937
3,BH1_S_1570,1561730395,136,20190628 09:59:55,9:59:55,,1561730387,0.002926963,1.864092191,196.3384806,153.3996888,14.72803639,18.85062681,0.090158526,2.331926681,0.088265844,0.055332893,316.9671227,27.6031868,26.80873871,3.539150681,12.30563393,0.421017821,3.421341989,3.118132861,-129.0790774,-72.20681347,-6.650574687,109.0306572,0.018828331,-0.422238199,4.606975643,0,0,1,0,50742,1999.994839,1685.995611,0.842999981,0.187999969,9,0.5,0: Broadleaf,1561730387,196.3384839,199.9962258,4.385106129,0.014403358,600.0671935,95.81088387,0.199978387,26.2343871,26.80873871,999.9,10001.59,725.6292903,7.869107419,1999.994839,0.900000355,0.099999635,28,41744.47742,1561729819,9:50:19,2,5.198,-0.021,400,0,0.32,0.03,199.99255,0.058370218,0.015792324,1,196.3871,-0.993170051,0.098115187,1,0.014351168,0.000616698,0.000188089,1,4.36842875,0.367125633,0.035394928,1,4,4,4-Apr,100,100,5.198,-0.021,3,619.314,331.763,25.6213,26.0431,30.0003,25.9492,25.9166,11.1749,100,0,-999.9,200,0,103.372,103.929
4,BH1_S_1570,1561730463,203.5,20190628 10:01:02,10:01:02,,1561730455,0.00324541,-0.321210391,99.97908767,99.92801429,9.594187329,9.599090935,0.101679847,2.332058744,0.099279597,0.062260682,316.9670583,27.51830528,26.80929032,3.539265507,13.61135916,0.466173111,3.424882894,3.073092395,-143.1225813,-70.0784284,-6.454758821,97.31128971,0.018829997,-0.422275561,4.60730902,0,0,1,0,50492,1999.993871,1685.994901,0.843000034,0.18800001,9,0.5,0: Broadleaf,1561730455,99.9790871,99.98398065,4.855414194,0.011489823,600.0686129,95.81099677,0.19999071,26.2519,26.80929032,999.9,10002.46323,726.299129,7.109800323,1999.993871,0.9,0.100000039,28,41744.47742,1561729819,9:50:19,2,5.198,-0.021,400,0,0.32,0.03,99.9799,0.046379254,0.017190622,1,100.0289575,-0.924685283,0.095476031,1,0.011536213,0.000138955,0.00026707,1,4.83383225,0.473870265,0.045663565,1,4,4,4-Apr,100,100,5.198,-0.021,3,619.777,331.115,25.6722,26.0846,30.0004,25.991,25.9581,6.96216,100,0,-999.9,100,0,103.364,103.921
5,BH1_S_1570,1561730525,265.5999999,20190628 10:02:04,10:02:04,,1561730517,0.003598354,-1.446570672,51.87899611,69.37242894,6.660594532,4.981012819,0.114985165,2.331955039,0.111925692,0.070221659,316.9682669,27.43785987,26.80276129,3.537906612,15.04674677,0.516336159,3.431546813,3.021570452,-158.6874302,-65.11625217,-5.998763104,87.16582144,0.018828689,-0.422246221,4.60704723,0,0,1,0,50782,2000.000323,1686.000315,0.843000021,0.188000123,9,0.5,0: Broadleaf,1561730517,51.87899355,49.98937742,5.377822258,0.009946435,600.0702903,95.81214194,0.199986129,26.28481613,26.80276129,999.9,10001.64871,726.3923226,6.828996129,2000.000323,0.899998355,0.100001613,28,41744.56774,1561729819,9:50:19,2,5.198,-0.021,400,0,0.32,0.03,49.98621,0.071745356,0.020172342,1,51.9249325,-0.886116083,0.089321205,1,0.009918636,0.001097447,0.000222152,1,5.35417925,0.506932994,0.048864477,1,4,4,4-Apr,100,100,5.198,-0.021,3,620.26,330.677,25.7166,26.1165,30.0001,26.0243,25.9907,4.8534,100,0,-999.9,50,0,103.359,103.917
6,BH1_S_1570,1561730597,338.0999999,20190628 10:03:17,10:03:17,,1561730589,0.00396246,6.939375238,387.3053748,282.7516611,27.14718451,37.1854596,0.12985306,2.332489142,0.125966502,0.079068566,316.9681273,27.30019046,26.73836452,3.524528021,16.59428652,0.568751893,3.427395882,2.955776129,-174.7444648,-59.61077828,-5.487985547,77.12489868,0.018835427,-0.422397337,4.608395553,0,0,1,0,50920,2000,1686.000052,0.843000026,0.18800007,9,0.5,0: Broadleaf,1561730589,387.3053871,400.0150645,5.92383871,0.016013513,600.0664839,95.81070323,0.199995355,26.26431935,26.73836452,999.9,10005.37839,727.1945484,6.983634839,2000,0.899999129,0.100000871,28,41744.57419,1561729819,9:50:19,2,5.198,-0.021,400,0,0.32,0.03,400.029875,-0.20491182,0.028940618,1,387.2584,0.870664165,0.092830706,1,0.016077463,-0.000897561,0.000205586,1,5.907609,0.343610657,0.033145841,1,4,4,4-Apr,100,100,5.198,-0.021,3,620.826,330.834,25.7488,26.1421,30.0001,26.053,26.0178,19.1814,100,0,-999.9,400,0,103.357,103.917
7,BH1_S_1570,1561730658,398.5999999,20190628 10:04:17,10:04:17,,1561730650,0.003964892,6.997965751,387.204536,281.7940408,27.05525082,37.17578913,0.129686441,2.33230035,0.125809386,0.07896955,316.9678133,27.32966367,26.76585484,3.530233792,16.57319712,0.569043162,3.433514713,2.96119063,-174.85174,-59.26443009,-5.458117981,77.39352521,0.018833045,-0.422343919,4.607918939,0,0,1,0,50743,2000.000645,1686.000273,0.842999865,0.187999859,9,0.5,0: Broadleaf,1561730650,387.2045484,400.0027742,5.926870645,0.015501823,600.0730968,95.81073871,0.199988645,26.29452581,26.76585484,999.9,10004.10935,727.2814839,7.391446452,2000.000645,0.900001419,0.099998474,28,41744.58065,1561729819,9:50:19,2,5.198,-0.021,400,0,0.32,0.03,399.991325,0.231365854,0.03100757,1,387.19745,0.313125704,0.034733953,1,0.015509958,0.000228947,0.000190685,1,5.94159475,-0.438245066,0.04258626,1,4,4,4-Apr,100,100,5.198,-0.021,3,620.765,330.6,25.7744,26.1559,30.0001,26.0681,26.0348,19.184,100,0,-999.9,400,0,103.356,103.917
8,BH1_S_1570,1561730778,519.0999999,20190628 10:06:18,10:06:18,,1561730770,0.002371245,9.046732707,584.3348226,349.6324659,33.56727528,56.10041904,0.070212055,2.331925173,0.069058423,0.043263585,316.967757,27.92542131,26.96280645,3.571348579,9.910078795,0.341949976,3.45052732,3.229398603,-104.5719035,-73.48788141,-6.778675887,132.1292962,0.018828312,-0.422237772,4.606971838,0,0,1,0,50670,1999.999355,1685.999523,0.843000033,0.187999909,9,0.5,0: Broadleaf,1561730770,584.3348387,599.9815484,3.561707419,0.017914106,600.0686774,95.80733548,0.199982355,26.37826452,26.96280645,999.9,10001.95032,728.3733226,7.658549032,1999.999355,0.900001419,0.099998668,28,41744.59355,1561729819,9:50:19,2,5.198,-0.021,400,0,0.32,0.03,599.9879,0.011166979,0.035046255,1,584.24635,2.308120075,0.222797952,0,0.01789286,0.000193911,0.000119491,1,3.60646675,-1.17048394,0.112636615,0,2,4,4-Feb,100,100,5.198,-0.021,3,618.748,330.203,25.8297,26.1758,30.0001,26.0909,26.0623,26.6178,100,0,-999.9,600,0,103.356,103.917
9,BH1_S_1570,1561730860,601.0999999,20190628 10:07:40,10:07:40,,1561730852,0.00169484,10.2719913,782.588756,404.0244635,38.78905382,75.13376074,0.048132288,2.331205101,0.047586937,0.029790319,316.9675635,28.22284206,27.08065161,3.596148795,7.073222949,0.245214418,3.466798944,3.350934377,-74.74242691,-78.25237824,-7.227537481,156.7452208,0.018819229,-0.422034081,4.605154262,0,0,1,0,50803,1999.997097,1685.997562,0.843000005,0.188000013,9,0.5,0: Broadleaf,1561730852,782.5887742,799.9843548,2.55413871,0.018656794,600.0672581,95.80669677,0.199999161,26.45801935,27.08065161,999.9,9997.191935,728.8319355,7.355636452,1999.997097,0.899999839,0.100000161,28,41744.54194,1561729819,9:50:19,2,5.198,-0.021,400,0,0.32,0.03,800.0053,-0.373666041,0.056998333,1,782.5443,0.948585366,0.094961361,1,0.018675108,0.000409269,0.000249146,1,2.5732295,-0.41179182,0.039644087,1,4,4,4-Apr,100,100,5.198,-0.021,3,617.9,330.131,25.8648,26.1846,30.0001,26.1018,26.0743,33.639,100,0,-999.9,800,0,103.357,103.92
10,BH1_S_1570,1561730928,668.5999999,20190628 10:08:47,10:08:47,,1561730920,0.001502439,11.83248839,980.021463,485.4503324,46.60716758,94.09000573,0.042200966,2.332555057,0.041781348,0.026150696,316.968113,28.30274904,27.10599032,3.601500856,6.274283249,0.217761656,3.470701704,3.3837392,-66.25754332,-79.08466123,-7.301804189,164.3241043,0.018836259,-0.422415988,4.608561962,0,0,1,0,50893,1999.999677,1685.999855,0.843000064,0.188000083,9,0.5,0: Broadleaf,1561730920,980.0214839,999.9765484,2.268159032,0.019872029,600.0691935,95.80812581,0.199981452,26.4771,27.10599032,999.9,10006.08935,729.0813226,7.170391613,1999.999677,0.899999097,0.100000945,28,41744.58387,1561729819,9:50:19,2,5.198,-0.021,400,0,0.32,0.03,999.982575,-0.239949075,0.060627093,1,979.966275,0.84630019,0.106916319,1,0.019895198,-0.001184567,0.000198895,1,2.2752895,-0.153397563,0.014768039,1,4,4,4-Apr,100,100,5.198,-0.021,3,617.824,330.22,25.892,26.1956,30.0002,26.1172,26.0898,40.3486,100,0,-999.9,1000,0,103.362,103.927
