obs,id,time,elapsed,date,hhmmss,rep name,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,Tled,Pc,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,A:MN,A:SLP,A:SD,A:OK,CO2_r:MN,CO2_r:SLP,CO2_r:SD,CO2_r:OK,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,H2O_r:MN,H2O_r:SLP,H2O_r:SD,H2O_r:OK,H2O_s:MN,H2O_s:SLP,H2O_s:SD,H2O_s:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,BH1_NO3_1653,1562859248,0,20190711 11:34:08,11:34:08,,1562859240,0.000281604,1.641512934,397.3654164,249.7448213,23.74293644,37.77704689,0.018851879,2.317967254,0.018767115,0.01173703,316.9674655,28.74440322,27.47416774,3.680055759,66.07852438,2.298383839,3.478261448,1.38167192,-12.41874674,-119.9877564,-11.17069106,173.3902713,0.018652601,-0.418297333,4.57178256,0,0,1,0,50256,1999.996452,1685.997098,0.843000045,0.188000007,9,0.5,0: Broadleaf,1562859240,397.3654194,399.9954516,24.17600968,23.76382903,600.0198065,94.8687871,0.199996774,26.51400645,27.47416774,999.9,10006.63645,728.5964194,3.374482581,1999.996452,0.900000097,0.099999958,28,41744.5,1562857303,11:01:43,2,2.701,0.335,400,23,0.3,0.15,1.655261725,-0.19187935,0.031918138,-1,399.9910714,0.04973665,0.025999444,1,397.3542143,0.280810307,0.032612104,1,23.76302381,0.017420955,0.001930187,1,24.17768571,-0.02998979,0.003073665,1,4,4,4-Apr,100,100,2.701,0.335,3,625.453,333.424,25.8801,26.2089,30.0002,26.148,26.1182,19.7852,-30,-30,-999.9,400,0,103.332,104.851
2,BH1_NO3_1653,1562859315,67,20190711 11:35:15,11:35:15,,1562859307,0.000259257,0.870517584,298.5711275,211.4626806,20.10358168,28.3849095,0.017264923,2.317811664,0.017193795,0.010752488,316.9675733,28.78800606,27.50562903,3.68683721,65.93939205,2.29845882,3.485714303,1.388378389,-11.43323871,-119.3730521,-11.11797565,175.0433068,0.018650647,-0.418253503,4.571390807,0,0,1,0,50136,1999.997097,1685.997681,0.843000064,0.188000005,9,0.5,0: Broadleaf,1562859307,298.571129,299.9929677,24.1767,23.79722903,600.020129,94.86917419,0.199996548,26.55032258,27.50562903,999.9,10005.5471,728.5174839,2.428687742,1999.997097,0.900000194,0.099999887,28,41744.50645,1562857303,11:01:43,2,2.701,0.335,400,23,0.3,0.15,0.774303634,1.074694373,0.135812147,-1,299.9840238,0.138124949,0.018310143,1,298.636619,-0.999575399,0.113048652,1,23.79535,0.03726019,0.003810715,1,24.17524286,0.025680253,0.002658333,1,4,4,4-Apr,100,100,2.701,0.335,3,625.544,333.223,25.8974,26.2111,30,26.1524,26.1225,15.8042,-30,-30,-999.9,300,0,103.334,104.852
3,BH1_NO3_1653,1562859384,136,20190711 11:36:24,11:36:24,,1562859376,0.000257212,0.281130371,199.486064,168.956513,16.06237026,18.96475587,0.017277898,2.31762701,0.017206657,0.010760537,316.9679402,28.7599004,27.46268387,3.677583135,66.1295305,2.301151862,3.479764402,1.376431274,-11.34306507,-117.6195111,-10.95158971,177.0537743,0.018648327,-0.418201488,4.570925892,0,0,1,0,50369,2000.000323,1686.000415,0.843000072,0.187999918,9,0.5,0: Broadleaf,1562859376,199.4860645,199.9847097,24.20530645,23.82883871,600.0190323,94.8680871,0.199986774,26.52133548,27.46268387,999.9,10004.41742,728.8713226,2.620470323,2000.000323,0.900001452,0.099998681,28,41744.6,1562857303,11:01:43,2,2.701,0.335,400,23,0.3,0.15,0.206945663,0.886087299,0.111343308,-1,199.9881429,0.019544607,0.016844628,1,199.5420952,-0.908192205,0.099275185,1,23.8293619,-0.005552224,0.001357861,1,24.20506429,0.003065878,0.000710071,1,4,4,4-Apr,100,100,2.701,0.335,3,625.603,332.818,25.9087,26.2089,30.0001,26.1524,26.1225,11.654,-30,-30,-999.9,200,0,103.333,104.853
4,BH1_NO3_1653,1562859453,205,20190711 11:37:33,11:37:33,,1562859445,0.000266056,-0.205096564,100.2533875,116.0930201,11.03680416,9.530952015,0.017875484,2.317525495,0.017799239,0.011131347,316.9678804,28.76622863,27.48186774,3.68171448,66.21642722,2.30541362,3.481633963,1.37630086,-11.73306204,-118.8726504,-11.07032149,175.2918464,0.018647052,-0.418172893,4.570670307,0,0,1,0,50318,1999.99871,1685.998947,0.843000017,0.188000046,9,0.5,0: Broadleaf,1562859445,100.2533871,99.98575806,24.24999355,23.86059677,600.0141613,94.86864516,0.199983,26.53044839,27.48186774,999.9,10003.67452,728.8316129,2.225691935,1999.99871,0.899999419,0.100000581,28,41744.55484,1562857303,11:01:43,2,2.701,0.335,400,23,0.3,0.15,-0.283488229,0.898083238,0.110838384,-1,99.98010714,0.114847419,0.020306525,1,100.3085,-0.911196824,0.097682247,1,23.85900476,0.028684872,0.002942137,1,24.24748095,0.044808686,0.004579886,1,4,4,4-Apr,100,100,2.701,0.335,3,625.65,332.793,25.9078,26.2023,30,26.148,26.1182,7.35513,-30,-30,-999.9,100,0,103.333,104.855
5,BH1_NO3_1653,1562859517,269,20190711 11:38:37,11:38:37,,1562859509,0.000269643,-0.502809941,50.73139445,93.61481865,8.899913125,4.82300783,0.018100939,2.317990139,0.018022778,0.01127123,316.967616,28.79189325,27.50828065,3.68740926,66.23911328,2.309915068,3.487237304,1.377494192,-11.89126467,-118.7872376,-11.06311953,175.2259941,0.018652889,-0.41830378,4.571840182,0,0,1,0,50145,1999.998387,1685.998638,0.842999999,0.187999924,9,0.5,0: Broadleaf,1562859509,50.73139355,49.99771935,24.29712258,23.90249677,600.0177097,94.8695,0.199990645,26.55773548,27.50828065,999.9,10006.71548,728.6691935,1.825085161,1999.998387,0.900001065,0.099998971,28,41744.56129,1562857303,11:01:43,2,2.701,0.335,400,23,0.3,0.15,-0.588166408,1.011449632,0.12696576,-1,49.99695714,0.051634714,0.015351999,1,50.79004286,-0.988531237,0.106289802,1,23.90020238,0.042635443,0.004335155,1,24.29431905,0.050703185,0.005154159,1,4,4,4-Apr,100,100,2.701,0.335,3,625.612,332.659,25.9164,26.1948,30,26.1413,26.1116,5.19987,-30,-30,-999.9,50,0,103.333,104.858
6,BH1_NO3_1653,1562859594,345.5,20190711 11:39:53,11:39:53,,1562859586,0.000264373,1.833225936,397.1156741,223.8142147,21.27840632,37.75447721,0.01774741,2.316515016,0.017672218,0.011051866,316.9677399,28.8253798,27.53492581,3.693161904,66.29004947,2.315854606,3.493517691,1.377307298,-11.65884251,-118.2253864,-11.02095358,176.0625573,0.018634362,-0.417888311,4.568126478,0,0,1,0,50327,1999.998387,1685.998744,0.843000052,0.187999986,9,0.5,0: Broadleaf,1562859586,397.1156774,400.0229032,24.35902258,23.97213548,600.0191935,94.87174194,0.199995774,26.58827419,27.53492581,999.9,9996.540323,728.6004839,1.606387742,1999.998387,0.900000419,0.099999655,28,41744.53548,1562857303,11:01:43,2,2.701,0.335,400,23,0.3,0.15,1.914965196,-0.959420252,0.119785519,-1,400.0276667,-0.118103881,0.017623938,1,397.0619048,0.923516733,0.097205675,1,23.96926429,0.053518191,0.005425505,1,24.35626429,0.04934673,0.004998467,1,4,4,4-Apr,100,100,2.701,0.335,3,625.583,333.465,25.9299,26.1807,29.9999,26.1304,26.1007,19.7952,-30,-30,-999.9,400,0,103.335,104.861
7,BH1_NO3_1653,1562859654,406,20190711 11:40:54,11:40:54,,1562859646,0.000255121,1.698387849,397.3049002,231.2462485,21.98519081,37.77282485,0.017197191,2.318853253,0.01712665,0.01071047,316.9676542,28.81647827,27.52063226,3.690074979,66.40746034,2.318611555,3.491492587,1.371463424,-11.25084523,-117.7882064,-10.96780408,176.9607985,0.018663733,-0.418546963,4.574013582,0,0,1,0,50205,1999.998065,1685.998201,0.842999916,0.187999996,9,0.5,0: Broadleaf,1562859646,397.3049032,400.0044516,24.38779032,24.01445161,600.0166129,94.87265161,0.199986129,26.57843226,27.52063226,999.9,10012.20032,728.7052581,1.56358871,1999.998065,0.89999971,0.100000184,28,41744.54194,1562857303,11:01:43,2,2.701,0.335,400,23,0.3,0.15,1.709591555,-0.11761296,0.018333109,-1,400.0054286,0.009879264,0.019335562,1,397.2954524,0.145670529,0.017004485,1,24.01180714,0.046768009,0.00477949,1,24.38561429,0.039907949,0.004050136,1,4,4,4-Apr,100,100,2.701,0.335,3,625.871,333.433,25.9363,26.1669,30.0001,26.1179,26.089,19.7929,-30,-30,-999.9,400,0,103.335,104.863
8,BH1_NO3_1653,1562859727,479,20190711 11:42:07,11:42:07,,1562859719,0.000250387,2.893948415,595.445898,308.9982925,29.37839759,56.61276053,0.016855221,2.316215718,0.016787374,0.010498182,316.9674155,28.84362313,27.54452258,3.695235748,66.41396564,2.322027828,3.4962945,1.373207921,-11.04207715,-117.7243198,-10.97692866,177.2240899,0.018630604,-0.417804035,4.567373099,0,0,1,0,50252,1999.997097,1685.997235,0.842999841,0.187999962,9,0.5,0: Broadleaf,1562859719,595.4459032,600.0103226,24.42279677,24.0564,600.0185806,94.87623548,0.200010258,26.60176129,27.54452258,999.9,9994.050968,728.8163548,1.411622258,1999.997097,0.899999871,0.099999942,28,41744.50323,1562857303,11:01:43,2,2.701,0.335,400,23,0.3,0.15,2.973504715,-0.970868876,0.1252488,-1,600.0097857,-0.009108497,0.030953526,1,595.3925714,0.968883444,0.101328824,1,24.05454524,0.036106632,0.003731985,1,24.42142143,0.027730237,0.002858532,1,4,4,4-Apr,100,100,2.701,0.335,3,625.904,333.789,25.943,26.1515,30.0001,26.104,26.0745,27.3393,-30,-30,-999.9,600,0,103.337,104.866
9,BH1_NO3_1653,1562859801,552.5,20190711 11:43:20,11:43:20,,1562859793,0.000242524,4.089523676,793.5842508,377.451268,35.887681,75.45317993,0.016324428,2.316325668,0.016260782,0.010168687,316.9675856,28.86640977,27.55815484,3.6981834,66.42003317,2.325029443,3.500494252,1.373153957,-10.69531328,-116.8871848,-10.90020731,178.4848802,0.018631985,-0.417834994,4.567649856,0,0,1,0,50419,1999.997742,1685.997977,0.84299994,0.18799998,9,0.5,0: Broadleaf,1562859793,793.5842581,800.0070645,24.45366452,24.09878387,600.0162581,94.87899355,0.199984968,26.62214194,27.55815484,999.9,9994.500968,728.7199677,1.116981935,1999.997742,0.900000032,0.0999999,28,41744.52258,1562857303,11:01:43,2,2.701,0.335,400,23,0.3,0.15,4.166804577,-0.866048496,0.107648411,-1,800.0145476,-0.080036705,0.0260569,1,793.5262143,0.94197981,0.101489041,1,24.09638333,0.045210702,0.004589943,1,24.45215,0.028108322,0.002859508,1,4,4,4-Apr,100,100,2.701,0.335,3,625.706,334.2,25.9529,26.1382,30,26.0887,26.0592,34.4471,-30,-30,-999.9,800,0,103.341,104.871
10,BH1_NO3_1653,1562859876,627.5999999,20190711 11:44:35,11:44:35,,1562859868,0.000235949,5.072024581,992.0417006,464.502016,44.16437401,94.32230472,0.01595645,2.31646257,0.015895639,0.009940219,316.9679386,28.85579131,27.54076452,3.694423517,66.54876075,2.327800674,3.497887335,1.366622843,-10.40536236,-116.3018959,-10.84335723,179.4173231,0.018633704,-0.417873542,4.56799446,0,0,1,0,50129,2000.000645,1686.000435,0.842999946,0.187999915,9,0.5,0: Broadleaf,1562859868,992.0417097,1000.000613,24.4828129,24.13756452,600.0181613,94.87895806,0.200013581,26.60949355,27.54076452,999.9,9995.426774,728.5530645,1.206491935,2000.000645,0.900000968,0.099999003,28,41744.58065,1562857303,11:01:43,2,2.701,0.335,400,23,0.3,0.15,5.142244809,-0.92384841,0.111697517,-1,1000.004214,-0.257642663,0.04813005,1,991.9905714,0.885111655,0.095323045,1,24.13460476,0.054028701,0.005507136,1,24.48034524,0.047127079,0.004809178,1,4,4,4-Apr,100,100,2.701,0.335,3,625.895,334.588,25.9559,26.1206,29.9999,26.0711,26.0418,41.2361,-30,-30,-999.9,1000,0,103.344,104.879
